continent,country,year,pop,lifeExp,gdpPercap
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2001,10143700,55.5,16.2268205881
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2002,10384222.6,56.824,19.3851776637
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2003,10624745.2,58.148,20.3110753188
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2004,10865267.8,59.472,20.2019871061
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2005,11105790.4,60.796,19.2782316511
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2006,11346313,62.12,21.3725815602
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2007,11586835.6,63.444,21.7401893577
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2008,11827358.2,64.768,19.3534343113
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2009,12067880.8,66.092,21.6525174826
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2010,12308403.4,67.416,21.1644022002
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2011,12548926,68.74,25.0300304584
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2012,12789448.6,70.064,25.974536541
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2013,13029971.2,71.388,26.8995222338
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2014,13270493.8,72.712,24.6712748549
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2015,13511016.4,74.036,24.3579010088
HIMACHAL PRADESH,HIMACHAL PRADESH,2001,6077900,76.5,14.4786850721
HIMACHAL PRADESH,HIMACHAL PRADESH,2002,6155760.9,77.228,13.4995496657
HIMACHAL PRADESH,HIMACHAL PRADESH,2003,6233621.8,77.956,11.5021414998
HIMACHAL PRADESH,HIMACHAL PRADESH,2004,6311482.7,78.684,12.865439685
HIMACHAL PRADESH,HIMACHAL PRADESH,2005,6389343.6,79.412,12.3330352745
HIMACHAL PRADESH,HIMACHAL PRADESH,2006,6467204.5,80.14,12.2154788827
HIMACHAL PRADESH,HIMACHAL PRADESH,2007,6545065.4,80.868,15.492587744
HIMACHAL PRADESH,HIMACHAL PRADESH,2008,6622926.3,81.596,14.7366882219
HIMACHAL PRADESH,HIMACHAL PRADESH,2009,6700787.2,82.324,14.1028206358
HIMACHAL PRADESH,HIMACHAL PRADESH,2010,6778648.1,83.052,15.1505135663
HIMACHAL PRADESH,HIMACHAL PRADESH,2011,6856509,83.78,14.5117580973
HIMACHAL PRADESH,HIMACHAL PRADESH,2012,6934369.9,84.508,13.065354359
HIMACHAL PRADESH,HIMACHAL PRADESH,2013,7012230.8,85.236,20.9918931932
HIMACHAL PRADESH,HIMACHAL PRADESH,2014,7090091.7,85.964,20.2254083681
HIMACHAL PRADESH,HIMACHAL PRADESH,2015,7167952.6,86.692,16.7830350887
PUNJAB,PUNJAB,2001,24358999,69.7,9.5570429639
PUNJAB,PUNJAB,2002,24693522.7,70.398,9.1076515381
PUNJAB,PUNJAB,2003,25028046.4,71.096,9.2576142899
PUNJAB,PUNJAB,2004,25362570.1,71.794,7.5465538092
PUNJAB,PUNJAB,2005,25697093.8,72.492,7.41718116
PUNJAB,PUNJAB,2006,26031617.5,73.19,8.3244923217
PUNJAB,PUNJAB,2007,26366141.2,73.888,10.0242200023
PUNJAB,PUNJAB,2008,26700664.9,74.586,9.6626807222
PUNJAB,PUNJAB,2009,27035188.6,75.284,9.480237175
PUNJAB,PUNJAB,2010,27369712.3,75.982,10.2047108475
PUNJAB,PUNJAB,2011,27704236,76.68,9.3415317427
PUNJAB,PUNJAB,2012,28038759.7,77.378,11.2380149255
PUNJAB,PUNJAB,2013,28373283.4,78.076,17.1076428892
PUNJAB,PUNJAB,2014,28707807.1,78.774,17.681601323
PUNJAB,PUNJAB,2015,29042330.8,79.472,17.0681893066
CHANDIGARH,CHANDIGARH,2001,900635,81.9,16.2107846131
CHANDIGARH,CHANDIGARH,2002,916040.1,82.353,20.3047879673
CHANDIGARH,CHANDIGARH,2003,931445.2,82.806,16.6408072101
CHANDIGARH,CHANDIGARH,2004,946850.3,83.259,18.9047835756
CHANDIGARH,CHANDIGARH,2005,962255.4,83.712,20.3688126874
