continent,country,year,pop,lifeExp,gdpPercap
Lowest Crime,JAMMU AND KASHMIR,2001,10143700,55.5,16.2268205881
Low Crime,JAMMU AND KASHMIR,2002,10384222.6,56.824,19.3851776637
Low Crime,JAMMU AND KASHMIR,2003,10624745.2,58.148,20.3110753188
Low Crime,JAMMU AND KASHMIR,2004,10865267.8,59.472,20.2019871061
Low Crime,JAMMU AND KASHMIR,2005,11105790.4,60.796,19.2782316511
Low Crime,JAMMU AND KASHMIR,2006,11346313,62.12,21.3725815602
Low Crime,JAMMU AND KASHMIR,2007,11586835.6,63.444,21.7401893577
Low Crime,JAMMU AND KASHMIR,2008,11827358.2,64.768,19.3534343113
Low Crime,JAMMU AND KASHMIR,2009,12067880.8,66.092,21.6525174826
Low Crime,JAMMU AND KASHMIR,2010,12308403.4,67.416,21.1644022002
Low Crime,JAMMU AND KASHMIR,2011,12548926,68.74,25.0300304584
Low Crime,JAMMU AND KASHMIR,2012,12789448.6,70.064,25.974536541
Low Crime,JAMMU AND KASHMIR,2013,13029971.2,71.388,26.8995222338
Low Crime,JAMMU AND KASHMIR,2014,13270493.8,72.712,24.6712748549
Low Crime,JAMMU AND KASHMIR,2015,13511016.4,74.036,24.3579010088
Lowest Crime,HIMACHAL PRADESH,2001,6077900,76.5,14.4786850721
Lowest Crime,HIMACHAL PRADESH,2002,6155760.9,77.228,13.4995496657
Lowest Crime,HIMACHAL PRADESH,2003,6233621.8,77.956,11.5021414998
Lowest Crime,HIMACHAL PRADESH,2004,6311482.7,78.684,12.865439685
Lowest Crime,HIMACHAL PRADESH,2005,6389343.6,79.412,12.3330352745
Lowest Crime,HIMACHAL PRADESH,2006,6467204.5,80.14,12.2154788827
Lowest Crime,HIMACHAL PRADESH,2007,6545065.4,80.868,15.492587744
Lowest Crime,HIMACHAL PRADESH,2008,6622926.3,81.596,14.7366882219
Lowest Crime,HIMACHAL PRADESH,2009,6700787.2,82.324,14.1028206358
Lowest Crime,HIMACHAL PRADESH,2010,6778648.1,83.052,15.1505135663
Lowest Crime,HIMACHAL PRADESH,2011,6856509,83.78,14.5117580973
Lowest Crime,HIMACHAL PRADESH,2012,6934369.9,84.508,13.065354359
Low Crime,HIMACHAL PRADESH,2013,7012230.8,85.236,20.9918931932
Low Crime,HIMACHAL PRADESH,2014,7090091.7,85.964,20.2254083681
Lowest Crime,HIMACHAL PRADESH,2015,7167952.6,86.692,16.7830350887
Lowest Crime,PUNJAB,2001,24358999,69.7,9.5570429639
Lowest Crime,PUNJAB,2002,24693522.7,70.398,9.1076515381
Lowest Crime,PUNJAB,2003,25028046.4,71.096,9.2576142899
Lowest Crime,PUNJAB,2004,25362570.1,71.794,7.5465538092
Lowest Crime,PUNJAB,2005,25697093.8,72.492,7.41718116
Lowest Crime,PUNJAB,2006,26031617.5,73.19,8.3244923217
Lowest Crime,PUNJAB,2007,26366141.2,73.888,10.0242200023
Lowest Crime,PUNJAB,2008,26700664.9,74.586,9.6626807222
Lowest Crime,PUNJAB,2009,27035188.6,75.284,9.480237175
Lowest Crime,PUNJAB,2010,27369712.3,75.982,10.2047108475
Lowest Crime,PUNJAB,2011,27704236,76.68,9.3415317427
Lowest Crime,PUNJAB,2012,28038759.7,77.378,11.2380149255
Lowest Crime,PUNJAB,2013,28373283.4,78.076,17.1076428892
Lowest Crime,PUNJAB,2014,28707807.1,78.774,17.681601323
Lowest Crime,PUNJAB,2015,29042330.8,79.472,17.0681893066
Lowest Crime,CHANDIGARH,2001,900635,81.9,16.2107846131
Low Crime,CHANDIGARH,2002,916040.1,82.353,20.3047879673
Lowest Crime,CHANDIGARH,2003,931445.2,82.806,16.6408072101
Lowest Crime,CHANDIGARH,2004,946850.3,83.259,18.9047835756
Low Crime,CHANDIGARH,2005,962255.4,83.712,20.3688126874
Low Crime,CHANDIGARH,2006,977660.5,84.165,22.604984041
Low Crime,CHANDIGARH,2007,993065.6,84.618,22.5564152056
Lowest Crime,CHANDIGARH,2008,1008470.7,85.071,13.3866060759
Lowest Crime,CHANDIGARH,2009,1023875.8,85.524,14.2595420265
Lowest Crime,CHANDIGARH,2010,1039280.9,85.977,13.2784120251
Lowest Crime,CHANDIGARH,2011,1054686,86.43,14.6015022481
Low Crime,CHANDIGARH,2012,1070091.1,86.883,22.5214470058
Lowest Crime,CHANDIGARH,2013,1085496.2,87.336,44.3115323665
Lowest Crime,CHANDIGARH,2014,1100901.3,87.789,38.5138976582
Lowest Crime,CHANDIGARH,2015,1116306.4,88.242,40.6698376001
Lowest Crime,UTTARAKHAND,2001,8489349,71.6,8.7639228874
Lowest Crime,UTTARAKHAND,2002,8652089.3,72.403,10.0438168154
Lowest Crime,UTTARAKHAND,2003,8814829.6,73.206,10.0398991264
Lowest Crime,UTTARAKHAND,2004,8977569.9,74.009,10.9383720866
Lowest Crime,UTTARAKHAND,2005,9140310.2,74.812,8.555508324
Lowest Crime,UTTARAKHAND,2006,9303050.5,75.615,11.1146338505
Lowest Crime,UTTARAKHAND,2007,9465790.8,76.418,11.4728924709
Lowest Crime,UTTARAKHAND,2008,9628531.1,77.221,11.9228986029
