continent,country,year,pop,lifeExp,gdpPercap
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2001,10143700,55.5,0.2760334
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2002,10384222.6,56.824,0.4044597426
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2003,10624745.2,58.148,0.4611875304
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2004,10865267.8,59.472,0.322127357
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2005,11105790.4,60.796,0.5132457749
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2006,11346313,62.12,0.7491420341
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2007,11586835.6,63.444,0.2243925857
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2008,11827358.2,64.768,0.0845497349
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2009,12067880.8,66.092,0.1491562628
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2010,12308403.4,67.416,0.1381170201
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2011,12548926,68.74,0.1992202361
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2012,12789448.6,70.064,0.3127578151
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2013,13029971.2,71.388,0.5755960535
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2014,13270493.8,72.712,1.5899935841
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2015,13511016.4,74.036,2.279621243
HIMACHAL PRADESH,HIMACHAL PRADESH,2001,6077900,76.5,1.3491501999
HIMACHAL PRADESH,HIMACHAL PRADESH,2002,6155760.9,77.228,1.4782900356
HIMACHAL PRADESH,HIMACHAL PRADESH,2003,6233621.8,77.956,1.7485821806
HIMACHAL PRADESH,HIMACHAL PRADESH,2004,6311482.7,78.684,1.457660654
HIMACHAL PRADESH,HIMACHAL PRADESH,2005,6389343.6,79.412,2.0502888591
HIMACHAL PRADESH,HIMACHAL PRADESH,2006,6467204.5,80.14,2.1029178836
HIMACHAL PRADESH,HIMACHAL PRADESH,2007,6545065.4,80.868,2.3070816069
HIMACHAL PRADESH,HIMACHAL PRADESH,2008,6622926.3,81.596,3.0953084892
HIMACHAL PRADESH,HIMACHAL PRADESH,2009,6700787.2,82.324,3.2981199582
HIMACHAL PRADESH,HIMACHAL PRADESH,2010,6778648.1,83.052,3.629042198
HIMACHAL PRADESH,HIMACHAL PRADESH,2011,6856509,83.78,3.8066018728
HIMACHAL PRADESH,HIMACHAL PRADESH,2012,6934369.9,84.508,3.8359649663
HIMACHAL PRADESH,HIMACHAL PRADESH,2013,7012230.8,85.236,6.1036211187
HIMACHAL PRADESH,HIMACHAL PRADESH,2014,7090091.7,85.964,6.5866567001
HIMACHAL PRADESH,HIMACHAL PRADESH,2015,7167952.6,86.692,6.654619898
PUNJAB,PUNJAB,2001,24358999,69.7,0.5049468576
PUNJAB,PUNJAB,2002,24693522.7,70.398,0.6519928402
PUNJAB,PUNJAB,2003,25028046.4,71.096,0.7351752392
PUNJAB,PUNJAB,2004,25362570.1,71.794,0.7609638899
PUNJAB,PUNJAB,2005,25697093.8,72.492,0.8172130344
PUNJAB,PUNJAB,2006,26031617.5,73.19,1.2638477037
PUNJAB,PUNJAB,2007,26366141.2,73.888,1.9987756115
PUNJAB,PUNJAB,2008,26700664.9,74.586,1.4568925585
PUNJAB,PUNJAB,2009,27035188.6,75.284,2.6964857201
PUNJAB,PUNJAB,2010,27369712.3,75.982,2.2908534556
PUNJAB,PUNJAB,2011,27704236,76.68,2.2451440278
PUNJAB,PUNJAB,2012,28038759.7,77.378,3.1278131037
PUNJAB,PUNJAB,2013,28373283.4,78.076,4.7086549032
PUNJAB,PUNJAB,2014,28707807.1,78.774,6.1377032173
PUNJAB,PUNJAB,2015,29042330.8,79.472,6.3218066506
CHANDIGARH,CHANDIGARH,2001,900635,81.9,6.4399007367
CHANDIGARH,CHANDIGARH,2002,916040.1,82.353,5.3491108086
CHANDIGARH,CHANDIGARH,2003,931445.2,82.806,4.2944018607
CHANDIGARH,CHANDIGARH,2004,946850.3,83.259,6.9704788603
CHANDIGARH,CHANDIGARH,2005,962255.4,83.712,5.9235832815
CHANDIGARH,CHANDIGARH,2006,977660.5,84.165,6.5462397223
CHANDIGARH,CHANDIGARH,2007,993065.6,84.618,5.3370089549
CHANDIGARH,CHANDIGARH,2008,1008470.7,85.071,6.5445629704
CHANDIGARH,CHANDIGARH,2009,1023875.8,85.524,6.9344348211
CHANDIGARH,CHANDIGARH,2010,1039280.9,85.977,5.6770022426
CHANDIGARH,CHANDIGARH,2011,1054686,86.43,7.016306275
CHANDIGARH,CHANDIGARH,2012,1070091.1,86.883,8.9711988073
CHANDIGARH,CHANDIGARH,2013,1085496.2,87.336,19.6223625656
CHANDIGARH,CHANDIGARH,2014,1100901.3,87.789,18.893610172
CHANDIGARH,CHANDIGARH,2015,1116306.4,88.242,24.276488964
UTTARAKHAND,UTTARAKHAND,2001,8489349,71.6,0.5418554473
UTTARAKHAND,UTTARAKHAND,2002,8652089.3,72.403,0.3120633533
UTTARAKHAND,UTTARAKHAND,2003,8814829.6,73.206,0.2609239321
UTTARAKHAND,UTTARAKHAND,2004,8977569.9,74.009,0.6349156914
UTTARAKHAND,UTTARAKHAND,2005,9140310.2,74.812,0.8314816274
UTTARAKHAND,UTTARAKHAND,2006,9303050.5,75.615,0.5482072789
UTTARAKHAND,UTTARAKHAND,2007,9465790.8,76.418,1.0670001285
UTTARAKHAND,UTTARAKHAND,2008,9628531.1,77.221,0.3946604067
UTTARAKHAND,UTTARAKHAND,2009,9791271.4,78.024,0.3370348819
UTTARAKHAND,UTTARAKHAND,2010,9954011.7,78.827,0.3114322239
UTTARAKHAND,UTTARAKHAND,2011,10116752,79.63,0.8204214159
UTTARAKHAND,UTTARAKHAND,2012,10279492.3,80.433,1.1868290421
UTTARAKHAND,UTTARAKHAND,2013,10442232.6,81.236,2.2217471003
UTTARAKHAND,UTTARAKHAND,2014,10604972.9,82.039,4.6110443149
UTTARAKHAND,UTTARAKHAND,2015,10767713.2,82.842,5.8972595964
HARYANA,HARYANA,2001,21144564,67.9,1.7167532989
HARYANA,HARYANA,2002,21565415.7,68.774,1.0897077212
HARYANA,HARYANA,2003,21986267.4,69.648,1.3053602723
HARYANA,HARYANA,2004,22407119.1,70.522,0.7319102437
HARYANA,HARYANA,2005,22827970.8,71.396,1.6383409777
HARYANA,HARYANA,2006,23248822.5,72.27,1.9871974161
HARYANA,HARYANA,2007,23669674.2,73.144,1.3730649491
HARYANA,HARYANA,2008,24090525.9,74.018,1.1166215346
HARYANA,HARYANA,2009,24511377.6,74.892,1.4401475338
HARYANA,HARYANA,2010,24932229.3,75.766,1.2152944542
HARYANA,HARYANA,2011,25353081,76.64,1.1044022618
HARYANA,HARYANA,2012,25773932.7,77.514,3.938087415
HARYANA,HARYANA,2013,26194784.4,78.388,6.2607883117
HARYANA,HARYANA,2014,26615636.1,79.262,9.5432624284
