continent,country,year,pop,lifeExp,gdpPercap
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2001,10143700,55.5,192.286838136
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2002,10384222.6,56.824,192.2820876355
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2003,10624745.2,58.148,199.8447925132
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2004,10865267.8,59.472,195.0343092326
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2005,11105790.4,60.796,181.1217326774
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2006,11346313,62.12,183.2048877904
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2007,11586835.6,63.444,185.0634697881
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2008,11827358.2,64.768,174.2062737222
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2009,12067880.8,66.092,182.0949374972
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2010,12308403.4,67.416,188.6759740098
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2011,12548926,68.74,195.267706575
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2012,12789448.6,70.064,192.4086078269
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2013,13029971.2,71.388,194.8584506465
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2014,13270493.8,72.712,179.7069525778
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2015,13511016.4,74.036,174.5464538108
HIMACHAL PRADESH,HIMACHAL PRADESH,2001,6077900,76.5,189.1936359598
HIMACHAL PRADESH,HIMACHAL PRADESH,2002,6155760.9,77.228,198.8868670971
HIMACHAL PRADESH,HIMACHAL PRADESH,2003,6233621.8,77.956,192.68092267
HIMACHAL PRADESH,HIMACHAL PRADESH,2004,6311482.7,78.684,195.2948393568
HIMACHAL PRADESH,HIMACHAL PRADESH,2005,6389343.6,79.412,193.2123356146
HIMACHAL PRADESH,HIMACHAL PRADESH,2006,6467204.5,80.14,202.4522341918
HIMACHAL PRADESH,HIMACHAL PRADESH,2007,6545065.4,80.868,217.2934742562
HIMACHAL PRADESH,HIMACHAL PRADESH,2008,6622926.3,81.596,211.0245436372
