State_UT,Population_Persons_2001,Population_Persons_2011,Number_of_literates_Persons_2001,Number_of_literates_Persons_2011,diffPop,diffLitracy
JAMMU AND KASHMIR,10143700,12548926,55.5,68.74,240522.6,1.324
HIMACHAL PRADESH,6077900,6856509,76.5,83.78,77860.9,0.728
PUNJAB,24358999,27704236,69.7,76.68,334523.7,0.698
CHANDIGARH,900635,1054686,81.9,86.43,15405.1,0.453
UTTARAKHAND,8489349,10116752,71.6,79.63,162740.3,0.803
HARYANA,21144564,25353081,67.9,76.64,420851.7,0.874
DELHI,13850507,16753235,81.7,86.34,290272.8,0.464
RAJASTHAN,56507188,68621012,60.4,67.06,1211382.4,0.666
UTTAR PRADESH,166197921,199581477,56.3,69.72,3338355.6,1.342
BIHAR,82998509,103804637,47,63.82,2080612.8,1.682
SIKKIM,540851,607688,68.8,82.2,6683.7,1.34
ARUNACHAL PRADESH,1097968,1382611,54.3,66.95,28464.3,1.265
NAGALAND,1990036,1980602,66.6,80.11,-943.4,1.351
MANIPUR,2166788,2721756,70.5,79.85,55496.8,0.935
MIZORAM,888573,1091014,88.8,91.58,20244.1,0.278
TRIPURA,3199203,3671032,73.2,87.75,47182.9,1.455
MEGHALAYA,2318822,2964007,62.6,75.48,64518.5,1.288
ASSAM,26655528,31169272,63.3,73.18,451374.4,0.988
WEST BENGAL,80176197,91347736,68.6,77.08,1117153.9,0.848
JHARKHAND,26945829,32966238,53.6,67.63,602040.9,1.403
ODISHA,36804660,41974218,53.6,73.45,516955.8,1.985
CHHATTISGARH,20833803,25540196,64.7,71.04,470639.3,0.634
MADHYA PRADESH,60348023,72597565,63.7,70.63,1224954.2,0.693
GUJARAT,50671017,60383628,69.1,79.31,971261.1,1.021
DAMAN AND DIU,158204,242911,78.2,87.07,8470.7,0.887
DADRA NAGAR HAVELI,220490,342853,57.6,77.65,12236.3,2.005
MAHARASHTRA,96878627,112372972,76.9,82.91,1549434.5,0.601
ANDHRA PRADESH,76210007,84665533,60.5,67.66,845552.6,0.716
KARNATAKA,52850562,61130704,66.6,75.6,828014.2,0.9
GOA,1347668,1457723,82,87.4,11005.5,0.54
LAKSHADWEEP,60650,64429,86.7,92.28,377.9,0.558
KERALA,31841374,33387677,90.9,93.91,154630.3,0.301
TAMIL NADU,62405679,72138958,73.5,80.33,973327.9,0.683
PUDUCHERRY,974345,1244464,81.2,86.55,27011.9,0.535
ANDAMAN AND NICOBAR ISLANDS,356152,379944,81.3,86.27,2379.2,0.497
