STATE/UT,CRIME HEAD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Andhra Pradesh,INFANTICIDE,1,1,3,1,1,0,1,0,9,6,0,8,7,8,6,16
Arunachal Pradesh,INFANTICIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,INFANTICIDE,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Bihar,INFANTICIDE,0,0,0,0,1,1,1,1,0,2,3,1,0,1,0,0
Chhattisgarh,INFANTICIDE,6,6,9,12,9,8,8,7,3,1,8,8,15,5,4,1
Goa,INFANTICIDE,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
Gujarat,INFANTICIDE,1,4,0,5,2,0,7,0,1,0,0,0,0,1,1,1
Haryana,INFANTICIDE,0,6,5,2,0,10,1,4,0,7,0,0,0,3,5,1
Himachal Pradesh,INFANTICIDE,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0
Jammu & Kashmir,INFANTICIDE,0,1,0,0,0,0,0,0,2,0,0,0,0,1,1,0
Jharkhand,INFANTICIDE,3,1,0,0,0,1,1,1,1,3,1,0,1,4,0,0
Karnataka,INFANTICIDE,17,3,0,8,5,9,3,13,4,2,8,3,4,11,0,2
Kerala,INFANTICIDE,1,1,0,2,0,1,1,0,0,1,1,0,0,0,4,0
Madhya Pradesh,INFANTICIDE,31,18,24,23,28,43,29,22,12,20,13,17,8,14,25,14
Maharashtra,INFANTICIDE,26,24,11,6,3,4,2,3,1,3,3,11,6,12,7,7
Manipur,INFANTICIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,INFANTICIDE,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,1
Mizoram,INFANTICIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,INFANTICIDE,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Odisha,INFANTICIDE,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,1
Punjab,INFANTICIDE,3,0,8,7,9,2,3,2,6,8,1,6,7,8,3,8
Rajasthan,INFANTICIDE,3,2,9,1,1,6,1,4,2,7,3,3,8,33,18,14
Sikkim,INFANTICIDE,0,0,0,1,1,3,0,2,0,0,1,1,0,0,0,0
Tamil Nadu,INFANTICIDE,1,16,14,17,1,1,10,20,9,7,7,6,13,0,2,2
Tripura,INFANTICIDE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,INFANTICIDE,39,30,19,17,44,34,61,60,9,31,13,14,10,11,9,21
Uttarakhand,INFANTICIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,INFANTICIDE,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0
A&N Islands,INFANTICIDE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,INFANTICIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D&N Haveli,INFANTICIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,INFANTICIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,INFANTICIDE,1,0,0,0,0,0,0,0,1,0,1,2,2,6,3,4
Lakshadweep,INFANTICIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,INFANTICIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INDIA,INFANTICIDE,133,115,103,102,108,126,134,140,63,100,63,81,82,121,91,93
Andhra Pradesh,MURDER,34,42,116,70,56,61,75,64,68,63,101,105,87,115,116,102
Arunachal Pradesh,MURDER,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,1
Assam,MURDER,0,1,2,1,12,11,2,1,4,10,8,15,14,22,16,35
Bihar,MURDER,2,10,8,9,25,11,87,115,126,200,121,128,101,61,97,33
Chhattisgarh,MURDER,8,22,20,32,28,40,37,45,44,51,51,61,49,50,66,75
Goa,MURDER,1,2,0,2,4,2,2,3,3,1,2,3,0,3,3,3
Gujarat,MURDER,77,64,49,69,74,87,76,59,66,66,69,60,77,82,81,79
Haryana,MURDER,31,16,19,21,38,19,19,21,19,22,14,40,73,56,50,58
Himachal Pradesh,MURDER,5,5,4,5,6,4,6,8,9,5,5,9,5,7,7,3
Jammu & Kashmir,MURDER,2,1,0,1,4,3,0,0,1,1,4,0,11,3,6,5
Jharkhand,MURDER,2,2,7,6,33,9,2,3,10,1,4,1,11,8,8,10
Karnataka,MURDER,12,25,23,46,42,54,50,71,56,43,44,54,64,87,108,84
Kerala,MURDER,75,63,31,49,45,50,37,37,44,41,46,34,40,44,39,33
Madhya Pradesh,MURDER,72,76,141,121,122,117,131,85,115,124,110,123,114,131,124,126
Maharashtra,MURDER,177,224,195,181,189,203,211,175,181,211,201,201,191,195,207,162
Manipur,MURDER,0,0,1,0,3,6,3,6,8,2,3,4,3,9,5,4
Meghalaya,MURDER,0,3,14,1,8,6,12,0,6,2,8,0,8,7,5,4
Mizoram,MURDER,0,0,5,0,0,0,3,0,0,1,0,1,2,0,3,1
Nagaland,MURDER,0,9,0,0,0,2,2,0,0,0,5,1,0,1,2,2
Odisha,MURDER,2,7,15,9,9,12,30,13,8,9,18,25,28,23,20,19
Punjab,MURDER,17,13,17,35,17,22,26,32,71,37,40,42,30,42,45,55
Rajasthan,MURDER,16,18,17,20,56,71,88,93,95,75,75,52,64,73,59,39
Sikkim,MURDER,1,2,1,1,0,1,1,0,3,3,0,0,0,1,0,0
Tamil Nadu,MURDER,23,29,46,54,53,59,44,71,74,73,101,89,83,103,87,87
Tripura,MURDER,0,0,0,5,1,3,9,12,12,2,9,2,9,21,4,4
Uttar Pradesh,MURDER,450,394,439,511,346,392,336,316,363,315,313,449,482,543,474,506
Uttarakhand,MURDER,9,7,3,4,6,10,14,3,5,3,9,11,7,11,8,4
West Bengal,MURDER,3,4,2,2,2,3,12,18,20,16,46,45,68,64,53,67
A&N Islands,MURDER,0,0,1,1,1,0,0,2,1,1,1,1,0,1,1,1
