STATE/UT,CRIME HEAD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Andhra Pradesh,MURDER,2602,2525,2667,2579,2750,2766,2665,2690,2449,2538,2808,2717,2484,2483,2287,2169
Arunachal Pradesh,MURDER,83,61,77,67,81,60,68,72,59,75,65,73,69,86,57,46
Assam,MURDER,1356,1253,1191,1214,1194,1207,1374,1426,1323,1223,1303,1368,1354,1451,1343,1149
Bihar,MURDER,3643,3712,3771,3948,3471,3249,3034,3139,3152,3362,3198,3566,3441,3403,3178,2581
Chhattisgarh,MURDER,880,844,776,927,1013,1098,1097,1169,1083,1065,1110,998,945,998,929,957
Goa,MURDER,36,30,34,40,45,39,33,49,53,35,48,45,36,34,31,30
Gujarat,MURDER,1226,1532,1114,1113,1033,1165,1166,1106,1020,1048,1126,1126,1118,1124,1150,1120
Haryana,MURDER,781,760,702,733,784,873,911,921,948,1005,1062,991,982,1106,1002,1057
Himachal Pradesh,MURDER,119,123,125,110,110,111,127,129,125,132,130,113,104,130,106,101
Jammu & Kashmir,MURDER,1075,1048,929,816,647,487,318,237,237,217,169,124,150,156,133,142
Jharkhand,MURDER,1507,1488,1482,1488,1523,1492,1617,1697,1636,1689,1747,1694,1630,1658,1536,1514
Karnataka,MURDER,1626,1627,1506,1519,1609,1627,1538,1698,1702,1805,1820,1860,1601,1636,1557,1573
Kerala,MURDER,472,454,435,417,388,393,367,362,343,363,365,374,372,367,334,305
Madhya Pradesh,MURDER,2425,2395,2227,2379,2405,2309,2244,2322,2386,2423,2511,2373,2112,2274,2339,2004
Maharashtra,MURDER,2839,2768,2772,2696,2621,2656,2693,2795,2653,2744,2818,2712,2512,2670,2509,2299
Manipur,MURDER,209,165,150,159,256,205,240,187,131,92,78,83,93,96,81,78
Meghalaya,MURDER,164,167,175,124,134,157,114,126,128,134,170,137,166,159,149,108
Mizoram,MURDER,31,29,46,35,24,25,43,35,31,48,26,30,27,42,36,29
Nagaland,MURDER,101,100,91,70,87,123,111,143,46,45,46,75,78,58,51,36
Odisha,MURDER,987,1075,1044,1066,1079,1159,1210,1250,1250,1308,1477,1548,1454,1450,1473,1328
Punjab,MURDER,738,733,731,775,713,817,760,769,853,907,842,855,711,767,701,771
Rajasthan,MURDER,1259,1276,1262,1279,1221,1209,1303,1297,1395,1421,1461,1461,1573,1637,1569,1551
Sikkim,MURDER,19,13,14,16,8,21,9,9,19,17,14,7,15,12,17,17
Tamil Nadu,MURDER,1662,1723,1591,1479,1440,1363,1633,1759,1776,1875,1877,1949,1936,1805,1748,1603
Tripura,MURDER,240,201,254,189,121,154,138,155,133,150,163,124,142,140,144,145
Uttar Pradesh,MURDER,7601,6825,5284,6126,5711,5480,5000,4564,4534,4401,4951,4966,5047,5150,4732,4889
Uttarakhand,MURDER,316,292,268,262,279,274,268,223,195,176,178,217,197,218,192,194
West Bengal,MURDER,1594,1444,1425,1425,1453,1425,1652,1811,2068,2398,2109,2252,2264,2217,2096,2044
A&N Islands,MURDER,13,17,21,15,14,4,15,8,15,9,14,15,6,8,19,14
Chandigarh,MURDER,15,31,21,22,18,12,19,17,22,21,24,21,22,24,20,26
D&N Haveli,MURDER,3,11,11,11,7,9,10,9,10,6,14,7,3,4,10,5
Daman & Diu,MURDER,7,8,6,3,5,6,12,2,5,5,6,3,9,7,4,4
Delhi,MURDER,547,531,485,481,455,476,495,554,552,565,543,521,517,586,570,528
Lakshadweep,MURDER,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Puducherry,MURDER,25,29,29,25,19,30,34,35,37,33,32,29,31,25,24,33
INDIA,MURDER,36202,35290,32716,33608,32719,32481,32318,32766,32369,33335,34305,34434,33201,33981,32127,30450
Andhra Pradesh,ATTEMPT TO COMMIT MURDER,1555,1644,1678,1908,1724,1860,1885,1942,1859,1953,2229,2183,2249,2602,2880,2845
Arunachal Pradesh,ATTEMPT TO COMMIT MURDER,53,38,20,45,37,33,29,37,33,34,29,29,36,48,53,46
Assam,ATTEMPT TO COMMIT MURDER,481,479,485,410,503,414,451,417,417,431,504,670,579,1142,1044,1257
Bihar,ATTEMPT TO COMMIT MURDER,3419,3526,3540,2995,3307,3303,3113,2954,3068,2915,3327,5452,3889,4379,5981,6998
Chhattisgarh,ATTEMPT TO COMMIT MURDER,529,453,513,619,660,825,747,736,732,756,747,593,647,716,726,690
Goa,ATTEMPT TO COMMIT MURDER,30,20,25,6,15,17,23,25,24,27,22,35,48,42,25,18
Gujarat,ATTEMPT TO COMMIT MURDER,537,759,478,469,452,471,494,487,468,462,478,557,603,756,908,986
Haryana,ATTEMPT TO COMMIT MURDER,467,487,446,441,513,585,592,616,690,836,851,910,781,783,859,889
Himachal Pradesh,ATTEMPT TO COMMIT MURDER,75,86,74,77,79,78,57,59,73,74,50,53,70,63,64,66
Jammu & Kashmir,ATTEMPT TO COMMIT MURDER,1474,1240,1216,1112,905,854,669,570,547,711,494,511,510,484,430,574
Jharkhand,ATTEMPT TO COMMIT MURDER,866,1143,957,1143,1084,1078,1076,1061,1274,1028,718,842,774,907,992,885
Karnataka,ATTEMPT TO COMMIT MURDER,1475,1576,1241,1387,1406,1484,1251,1475,1607,1850,1837,1923,1984,2225,2470,2607
Kerala,ATTEMPT TO COMMIT MURDER,615,562,448,391,341,347,402,434,408,361,521,497,603,676,587,622
Madhya Pradesh,ATTEMPT TO COMMIT MURDER,2870,2864,2413,2563,2512,2370,2423,2282,2212,2277,2340,2332,2360,2439,2507,2178
Maharashtra,ATTEMPT TO COMMIT MURDER,1454,1435,1412,1463,1614,1680,1615,1837,1880,1926,2105,2168,2428,2613,2683,2619
Manipur,ATTEMPT TO COMMIT MURDER,168,160,199,227,252,265,377,498,478,258,245,409,211,227,196,211
Meghalaya,ATTEMPT TO COMMIT MURDER,47,58,60,42,35,42,49,55,39,60,51,63,111,115,113,83
Mizoram,ATTEMPT TO COMMIT MURDER,15,26,36,21,24,19,21,10,14,27,24,21,19,22,24,17
Nagaland,ATTEMPT TO COMMIT MURDER,39,34,34,33,26,46,50,47,35,35,43,42,63,56,60,50
Odisha,ATTEMPT TO COMMIT MURDER,1151,1372,1214,1197,1279,752,1105,1415,1231,1436,1621,1879,2173,2345,2446,2778
Punjab,ATTEMPT TO COMMIT MURDER,789,728,644,716,723,898,893,956,1014,994,997,1045,923,864,884,862
Rajasthan,ATTEMPT TO COMMIT MURDER,1923,2043,1977,2030,1920,1694,1772,1649,1673,1557,1566,1538,1662,1794,1645,1632
Sikkim,ATTEMPT TO COMMIT MURDER,11,5,7,8,16,16,14,7,7,6,7,7,12,14,17,17
Tamil Nadu,ATTEMPT TO COMMIT MURDER,2204,2133,1843,1772,1759,1599,2078,2327,2325,2641,2962,2954,3007,2922,2935,2666
