STATE/UT,CRIME HEAD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Andhra Pradesh,"ARMS ACT, 1959",386,341,293,300,240,291,280,343,348,298,296,301,280,226,237,139
Arunachal Pradesh,"ARMS ACT, 1959",10,13,9,16,12,10,10,16,18,16,12,11,15,26,9,18
Assam,"ARMS ACT, 1959",388,289,294,310,254,288,329,329,427,505,454,539,630,473,473,400
Bihar,"ARMS ACT, 1959",2861,2571,2358,2403,2982,2403,1969,1809,1926,1845,1574,1813,1614,1764,1846,1787
Chattisgarh,"ARMS ACT, 1959",551,704,1304,1156,1191,1144,901,1120,1119,1059,833,883,954,782,591,747
Goa,"ARMS ACT, 1959",34,4,2,2,5,3,4,0,4,6,5,12,7,2,8,5
Gujarat,"ARMS ACT, 1959",245,368,324,295,305,260,361,280,345,391,405,512,417,586,546,507
Haryana,"ARMS ACT, 1959",1275,2029,1605,1393,1428,1213,1623,1886,1625,1464,1411,1402,1446,1564,1741,1825
Himachal Pradesh,"ARMS ACT, 1959",20,25,20,16,14,13,8,15,24,10,24,15,21,18,17,25
Jammu & Kashmir,"ARMS ACT, 1959",1259,1061,864,761,880,713,456,362,289,225,231,186,173,181,146,181
Jharkhand,"ARMS ACT, 1959",462,511,528,511,543,479,486,529,644,741,587,570,515,459,498,462
Karnataka,"ARMS ACT, 1959",101,100,72,109,99,87,52,96,90,135,134,124,116,107,136,133
Kerala,"ARMS ACT, 1959",387,432,558,534,465,393,467,402,325,344,296,293,259,273,250,215
Madhya Pradesh,"ARMS ACT, 1959",7143,8690,11806,13372,13192,11931,10313,12094,10075,8999,10063,10827,12798,11595,9773,9084
Maharashtra,"ARMS ACT, 1959",1521,1346,1270,1609,1244,1187,1120,1034,1185,1068,1014,1166,1000,1412,1253,1387
Manipur,"ARMS ACT, 1959",29,18,7,2,6,4,5,19,10,14,14,15,17,11,16,16
Meghalaya,"ARMS ACT, 1959",48,47,64,43,42,23,32,32,48,30,29,20,26,59,40,28
Mizoram,"ARMS ACT, 1959",28,22,16,12,18,20,28,28,26,27,38,37,37,20,31,12
Nagaland,"ARMS ACT, 1959",22,22,22,28,19,28,33,103,93,83,86,101,186,222,161,125
Odisha,"ARMS ACT, 1959",226,239,257,273,142,280,369,467,379,408,469,602,719,533,349,318
Punjab,"ARMS ACT, 1959",1011,1082,854,771,804,710,635,899,715,915,831,888,647,513,492,458
Rajasthan,"ARMS ACT, 1959",2482,2819,3408,2571,2869,3364,3718,3811,3582,4352,5005,4992,5304,5232,5894,6444
Sikkim,"ARMS ACT, 1959",6,2,2,6,3,3,1,1,2,1,1,1,2,2,2,2
Tamil Nadu,"ARMS ACT, 1959",118,130,172,158,184,125,145,146,162,167,138,180,193,275,227,218
Tripura,"ARMS ACT, 1959",40,38,35,27,38,33,26,24,28,12,11,15,15,4,5,3
Uttar Pradesh,"ARMS ACT, 1959",32634,33836,37840,37505,36496,39218,41800,47725,53141,49248,33607,26396,22822,25097,24702,27227
Uttarakhand,"ARMS ACT, 1959",1416,1286,1305,1079,1254,1580,1456,1014,1108,866,453,503,587,636,753,813
West Bengal,"ARMS ACT, 1959",1806,1717,1633,1549,1253,1659,1008,1120,1258,1264,2964,1722,2531,2360,2379,2349
A&N Islands,"ARMS ACT, 1959",0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,0
Chandigarh,"ARMS ACT, 1959",9,7,17,14,21,6,5,7,12,13,21,18,16,17,11,22
D&N Haveli,"ARMS ACT, 1959",3,2,1,0,1,0,1,3,0,0,2,1,1,0,0,1
Daman & Diu,"ARMS ACT, 1959",4,0,0,2,1,1,1,0,0,0,1,0,1,0,1,1
Delhi,"ARMS ACT, 1959",3415,4591,5820,7545,8172,9020,6266,1218,931,884,1035,1017,921,753,700,688
Lakshadweep,"ARMS ACT, 1959",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Puducherry,"ARMS ACT, 1959",20,41,44,110,93,73,157,84,168,158,285,214,91,53,13,20
INDIA,"ARMS ACT, 1959",59960,64383,72804,74482,74270,76562,74066,77016,80109,75550,62329,55376,54362,55255,53300,55660
Andhra Pradesh,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",651,518,461,441,563,534,489,299,327,455,413,464,553,588,718,954
Arunachal Pradesh,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",17,11,22,30,39,25,26,22,28,49,24,40,86,83,105,116
Assam,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",146,166,121,129,125,155,176,198,186,180,162,129,266,196,210,380
Bihar,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",225,292,287,240,319,320,327,283,311,463,352,366,354,347,349,576
Chattisgarh,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",299,324,365,403,344,401,398,316,360,428,401,426,432,434,505,595
Goa,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",29,29,26,30,31,29,23,24,35,65,53,55,50,54,60,60
Gujarat,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",119,107,133,108,101,77,49,55,60,83,80,68,47,47,54,61
Haryana,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",1322,1410,1686,1391,1427,1521,1404,1311,882,871,858,935,1129,1012,1661,2032
Himachal Pradesh,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",229,312,310,319,242,385,233,374,473,596,570,513,531,644,622,929
Jammu & Kashmir,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",111,118,176,162,192,244,248,197,302,421,529,411,390,404,588,619
Jharkhand,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",39,48,49,48,53,63,135,137,131,170,77,122,127,78,131,129
Karnataka,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",309,282,298,242,292,209,201,206,250,302,252,225,290,284,350,655
Kerala,"NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT, 1985",514,473,435,451,409,391,452,508,646,769,693,696,974,2239,4103,5924
