STATE/UT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Total
ANDHRA PRADESH,2001,871,765,420,3544,2271,5791,7,13669
ARUNACHAL PRADESH,2001,33,55,0,78,3,11,0,180
ASSAM,2001,817,1070,59,850,4,1248,0,4048
BIHAR,2001,888,518,859,562,21,1558,83,4489
CHHATTISGARH,2001,959,171,70,1763,161,840,0,3964
GOA,2001,12,6,2,17,7,11,0,55
GUJARAT,2001,286,857,67,756,111,3667,0,5744
HARYANA,2001,398,297,285,478,401,1513,0,3372
HIMACHAL PRADESH,2001,124,105,10,310,14,317,0,880
JAMMU AND KASHMIR,2001,169,504,13,622,288,50,0,1646
JHARKHAND,2001,567,279,217,297,5,484,2,1851
KARNATAKA,2001,293,271,220,1665,81,1755,0,4285
KERALA,2001,562,97,27,1942,81,2561,0,5270
MADHYA PRADESH,2001,2851,668,609,7063,751,2562,0,14504
MAHARASHTRA,2001,1302,611,308,2823,1120,6090,1,12255
MANIPUR,2001,20,62,0,21,0,5,0,108
MEGHALAYA,2001,26,11,0,25,0,4,0,66
MIZORAM,2001,52,1,0,52,0,16,3,124
NAGALAND,2001,17,6,0,6,0,0,0,29
ODISHA,2001,790,434,294,1655,458,1266,0,4897
PUNJAB,2001,298,324,159,372,47,1128,0,2328
RAJASTHAN,2001,1049,2165,376,2878,56,5532,1,12057
SIKKIM,2001,8,2,0,0,14,0,0,24
TAMIL NADU,2001,423,607,191,1773,1012,815,14,4835
TRIPURA,2001,102,35,16,58,0,227,0,438
UTTAR PRADESH,2001,1958,2879,2211,2870,2575,7365,0,19858
UTTARAKHAND,2001,74,126,56,103,84,301,0,744
WEST BENGAL,2001,709,695,265,954,48,3859,3,6533
ANDAMAN AND NICOBAR ISLANDS,2001,3,2,0,19,1,9,0,34
CHANDIGARH,2001,18,50,3,24,15,36,0,146
DADRA NAGAR HAVELI,2001,6,2,0,7,0,4,0,19
DAMAN AND DIU,2001,0,3,0,0,0,4,0,7
DELHI,2001,381,964,113,502,90,138,0,2188
LAKSHADWEEP,2001,0,0,0,0,0,0,0,0
PUDUCHERRY,2001,9,3,1,35,27,3,0,78
ANDHRA PRADESH,2002,1002,854,449,3799,2024,7018,0,15146
ARUNACHAL PRADESH,2002,38,38,0,68,2,13,0,159
ASSAM,2002,970,1276,70,984,7,1694,0,5001
BIHAR,2002,1040,744,927,621,6,1577,38,4953
CHHATTISGARH,2002,992,154,85,1483,147,653,0,3514
GOA,2002,12,5,2,18,6,8,0,51
GUJARAT,2002,267,807,62,750,104,3321,0,5311
HARYANA,2002,361,290,256,454,1424,1565,0,4350
HIMACHAL PRADESH,2002,137,116,6,326,12,234,0,831
JAMMU AND KASHMIR,2002,192,596,18,785,368,54,0,2013
JHARKHAND,2002,797,178,275,411,3,588,36,2288
KARNATAKA,2002,292,300,233,1648,100,1826,0,4399
