STATE/UT,CRIME HEAD,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Andhra Pradesh,INFANTICIDE,10,5,2,0,16,10,8,1,1,3,1,1,0,1,0,9,6,0,8,7,8,6,16
Arunachal Pradesh,INFANTICIDE,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,INFANTICIDE,0,1,0,0,0,5,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Bihar,INFANTICIDE,23,9,7,11,11,7,4,0,0,0,0,1,1,1,1,0,2,3,1,0,1,0,0
Chhattisgarh,INFANTICIDE,0,0,0,0,0,0,0,6,6,9,12,9,8,8,7,3,1,8,8,15,5,4,1
Goa,INFANTICIDE,1,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
Gujarat,INFANTICIDE,4,8,10,2,0,0,4,1,4,0,5,2,0,7,0,1,0,0,0,0,1,1,1
Haryana,INFANTICIDE,2,1,0,0,1,4,1,0,6,5,2,0,10,1,4,0,7,0,0,0,3,5,1
Himachal Pradesh,INFANTICIDE,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0
Jammu & Kashmir,INFANTICIDE,0,0,0,2,2,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,1,1,0
Jharkhand,INFANTICIDE,0,0,0,0,0,0,0,3,1,0,0,0,1,1,1,1,3,1,0,1,4,0,0
Karnataka,INFANTICIDE,1,3,2,3,4,2,2,17,3,0,8,5,9,3,13,4,2,8,3,4,11,0,2
Kerala,INFANTICIDE,1,0,0,2,1,0,2,1,1,0,2,0,1,1,0,0,1,1,0,0,0,4,0
Madhya Pradesh,INFANTICIDE,21,49,33,45,59,16,31,31,18,24,23,28,43,29,22,12,20,13,17,8,14,25,14
Maharashtra,INFANTICIDE,49,40,43,25,14,14,20,26,24,11,6,3,4,2,3,1,3,3,11,6,12,7,7
Manipur,INFANTICIDE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,INFANTICIDE,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,1
Mizoram,INFANTICIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,INFANTICIDE,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Odisha,INFANTICIDE,9,1,1,4,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,1
Punjab,INFANTICIDE,4,4,0,1,3,11,6,3,0,8,7,9,2,3,2,6,8,1,6,7,8,3,8
Rajasthan,INFANTICIDE,4,4,14,6,2,6,5,3,2,9,1,1,6,1,4,2,7,3,3,8,33,18,14
Sikkim,INFANTICIDE,0,0,0,0,0,2,3,0,0,0,1,1,3,0,2,0,0,1,1,0,0,0,0
Tamil Nadu,INFANTICIDE,1,5,0,0,0,0,8,1,16,14,17,1,1,10,20,9,7,7,6,13,0,2,2
Tripura,INFANTICIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,INFANTICIDE,0,2,0,1,0,0,0,39,30,19,17,44,34,61,60,9,31,13,14,10,11,9,21
Uttarakhand,INFANTICIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,INFANTICIDE,0,1,0,0,0,1,2,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0
A&N Islands,INFANTICIDE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,INFANTICIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D&N Haveli,INFANTICIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,INFANTICIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,INFANTICIDE,1,0,0,4,0,3,2,1,0,0,0,0,0,0,0,1,0,1,2,2,6,3,4
Lakshadweep,INFANTICIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,INFANTICIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INDIA,INFANTICIDE,131,139,113,107,114,87,104,133,115,103,102,108,126,134,140,63,100,63,81,82,121,91,93
Andhra Pradesh,RAPE,360,322,269,347,288,202,222,84,137,383,363,315,412,363,412,416,446,646,613,770,1060,1194,1149
Arunachal Pradesh,RAPE,17,0,14,27,10,9,16,0,3,9,11,10,0,1,11,16,12,20,18,35,43,34,49
Assam,RAPE,142,157,147,195,209,119,92,0,3,5,7,90,61,34,27,10,39,40,156,230,125,43,586
Bihar,RAPE,213,349,217,198,197,78,94,16,3,3,3,8,17,110,91,63,114,91,137,86,103,116,170
Chhattisgarh,RAPE,0,0,0,0,0,0,0,150,182,186,308,382,448,368,411,394,382,477,519,595,806,317,984
Goa,RAPE,3,11,5,8,6,11,10,10,7,22,20,15,14,15,18,30,23,20,38,59,57,50,40
Gujarat,RAPE,113,96,117,130,135,92,68,39,67,75,96,90,112,98,99,91,102,130,150,263,291,57,1054
Haryana,RAPE,119,112,127,156,131,88,137,108,84,77,24,131,176,122,70,116,107,66,276,388,416,261,532
Himachal Pradesh,RAPE,39,53,52,48,33,29,39,35,26,36,32,58,41,48,68,83,72,72,89,130,135,139,146
Jammu & Kashmir,RAPE,5,12,20,0,15,12,13,6,7,2,4,4,8,12,5,4,8,9,13,25,37,28,21
Jharkhand,RAPE,0,0,0,0,0,0,0,11,43,16,43,22,28,23,8,8,0,16,6,23,78,24,205
Karnataka,RAPE,99,79,88,71,79,70,67,11,19,25,42,48,84,84,97,104,108,97,142,270,694,0,1136
Kerala,RAPE,62,102,135,167,171,121,136,64,186,69,159,140,219,183,215,235,208,423,455,637,754,720,957
Madhya Pradesh,RAPE,809,935,893,1018,806,760,738,390,517,699,710,870,829,1043,892,1071,1182,1262,1632,2112,2352,1568,2467
Maharashtra,RAPE,491,506,453,501,452,359,367,367,491,605,634,634,655,615,690,612,747,818,917,1546,1714,2231,2292
Manipur,RAPE,1,3,7,3,7,4,0,0,0,7,4,4,15,4,22,12,11,19,17,40,38,13,39
Meghalaya,RAPE,7,7,10,4,11,4,12,0,16,24,22,51,47,41,34,60,91,66,81,112,61,38,122
