STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls
ANDHRA PRADESH,ADILABAD,2001,50,30,16,149,34,175,0
ANDHRA PRADESH,ANANTAPUR,2001,23,30,7,118,24,154,0
ANDHRA PRADESH,CHITTOOR,2001,27,34,14,112,83,186,0
ANDHRA PRADESH,CUDDAPAH,2001,20,20,17,126,38,57,0
ANDHRA PRADESH,EAST GODAVARI,2001,23,26,12,109,58,247,0
ANDHRA PRADESH,GUNTAKAL RLY.,2001,0,0,0,1,0,0,0
ANDHRA PRADESH,GUNTUR,2001,54,51,7,139,129,378,0
ANDHRA PRADESH,HYDERABAD CITY,2001,37,39,24,118,27,746,0
ANDHRA PRADESH,KARIMNAGAR,2001,56,49,62,414,81,224,0
ANDHRA PRADESH,KHAMMAM,2001,47,30,17,180,336,172,0
ANDHRA PRADESH,KRISHNA,2001,37,21,10,208,72,265,0
ANDHRA PRADESH,KURNOOL,2001,29,47,13,141,107,92,0
ANDHRA PRADESH,MAHABOOBNAGAR,2001,59,27,14,176,41,69,0
ANDHRA PRADESH,MEDAK,2001,35,20,26,100,25,192,0
ANDHRA PRADESH,NALGONDA,2001,35,19,31,188,59,214,0
ANDHRA PRADESH,NELLORE,2001,46,80,10,207,228,287,0
ANDHRA PRADESH,NIZAMABAD,2001,21,21,19,55,15,228,0
ANDHRA PRADESH,PRAKASHAM,2001,19,12,5,140,100,119,0
ANDHRA PRADESH,RANGA REDDY,2001,72,83,37,113,55,421,7
ANDHRA PRADESH,SECUNDERABAD RLY.,2001,0,0,1,0,1,0,0
ANDHRA PRADESH,SRIKAKULAM,2001,8,12,6,38,47,108,0
ANDHRA PRADESH,VIJAYAWADA,2001,25,48,2,84,122,520,0
ANDHRA PRADESH,VIJAYAWADA RLY.,2001,1,0,0,1,1,0,0
ANDHRA PRADESH,VISAKHA RURAL,2001,12,12,3,67,48,99,0
ANDHRA PRADESH,VISAKHAPATNAM,2001,13,6,0,33,462,204,0
ANDHRA PRADESH,VIZIANAGARAM,2001,8,2,0,40,22,121,0
ANDHRA PRADESH,WARANGAL,2001,53,25,52,241,0,165,0
ANDHRA PRADESH,WEST GODAVARI,2001,61,21,15,246,56,348,0
ANDHRA PRADESH,TOTAL,2001,871,765,420,3544,2271,5791,7
ARUNACHAL PRADESH,CHANGLANG,2001,1,2,0,3,0,0,0
ARUNACHAL PRADESH,DIBANG VALLEY,2001,2,4,0,4,0,2,0
ARUNACHAL PRADESH,KAMENG EAST,2001,2,5,0,5,0,0,0
ARUNACHAL PRADESH,KAMENG WEST,2001,0,2,0,0,0,0,0
ARUNACHAL PRADESH,LOHIT,2001,2,6,0,8,0,0,0
ARUNACHAL PRADESH,PAPUM PARE,2001,9,5,0,6,0,3,0
ARUNACHAL PRADESH,SIANG EAST,2001,5,7,0,7,0,2,0
ARUNACHAL PRADESH,SIANG UPPER,2001,2,5,0,3,0,0,0
ARUNACHAL PRADESH,SIANG WEST,2001,4,10,0,25,2,2,0
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,2,5,0,4,0,0,0
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,2,1,0,8,0,2,0
ARUNACHAL PRADESH,TAWANG,2001,1,0,0,5,1,0,0
ARUNACHAL PRADESH,TIRAP,2001,1,3,0,0,0,0,0
ARUNACHAL PRADESH,TOTAL,2001,33,55,0,78,3,11,0
ASSAM,BARPETA,2001,28,88,10,29,0,95,0
ASSAM,BONGAIGAON,2001,20,21,1,22,0,26,0
ASSAM,C.I.D.,2001,0,0,0,0,0,0,0
ASSAM,CACHAR,2001,45,74,7,80,0,216,0
ASSAM,DARRANG,2001,48,47,9,56,0,37,0
ASSAM,DHEMAJI,2001,42,20,0,26,0,0,0
ASSAM,DHUBRI,2001,43,51,5,49,0,111,0
ASSAM,DIBRUGARH,2001,35,37,3,41,0,19,0
ASSAM,G.R.P.,2001,1,0,0,0,0,0,0
ASSAM,GOALPARA,2001,35,35,1,54,0,64,0
ASSAM,GOLAGHAT,2001,30,40,0,23,0,26,0
ASSAM,GUWAHATI CITY,2001,37,64,5,67,0,98,0
ASSAM,HAILAKANDI,2001,24,34,2,27,0,28,0
ASSAM,JORHAT,2001,42,28,2,44,0,48,0
ASSAM,KAMRUP,2001,21,65,2,42,0,27,0
ASSAM,KARBI ANGLONG,2001,5,15,4,5,0,8,0
ASSAM,KARIMGANJ,2001,33,8,1,9,0,30,0
ASSAM,KOKRAJHAR,2001,14,12,0,37,0,20,0
ASSAM,LAKHIMPUR,2001,64,62,0,22,0,93,0
ASSAM,MORIGAON,2001,23,37,0,6,0,28,0
ASSAM,N.C.HILLS,2001,2,4,0,2,0,7,0
