State_UT,Population_Persons_2001,Population_Persons_2011,Number_of_literates_Persons_2001,Number_of_literates_Persons_2011,diffPop,diffLitracy
JAMMU AND KASHMIR,10143700,12548926,4807286,7245053,240522.6,243776.7
HIMACHAL PRADESH,6077900,6856509,4041621,5104506,77860.9,106288.5
PUNJAB,24358999,27704236,14756970,18988611,334523.7,423164.1
CHANDIGARH,900635,1054686,643245,809653,15405.1,16640.8
UTTARAKHAND,8489349,10116752,5105782,6997433,162740.3,189165.1
HARYANA,21144564,25353081,12093677,16904324,420851.7,481064.7
DELHI,13850507,16753235,9664764,12763352,290272.8,309858.8
RAJASTHAN,56507188,68621012,27702010,38970500,1211382.4,1126849
UTTAR PRADESH,166197921,199581477,75719284,118423805,3338355.6,4270452.1
BIHAR,82998509,103804637,31109577,54390254,2080612.8,2328067.7
SIKKIM,540851,607688,318335,449294,6683.7,13095.9
ARUNACHAL PRADESH,1097968,1382611,484785,789943,28464.3,30515.8
NAGALAND,1990036,1980602,1132323,1357579,-943.4,22525.6
MANIPUR,2166788,2721756,1310534,1891196,55496.8,58066.2
MIZORAM,888573,1091014,661445,847592,20244.1,18614.7
TRIPURA,3199203,3671032,2022099,2831742,47182.9,80964.3
MEGHALAYA,2318822,2964007,1157875,1817761,64518.5,65988.6
ASSAM,26655528,31169272,14015354,19507017,451374.4,549166.3
WEST BENGAL,80176197,91347736,47196401,62614556,1117153.9,1541815.5
JHARKHAND,26945829,32966238,11777201,18753660,602040.9,697645.9
ODISHA,36804660,41974218,19837055,27112376,514269.8,727532.1
CHHATTISGARH,20833803,25540196,11173149,15598314,470639.3,442516.5
MADHYA PRADESH,60348023,72597565,31592563,43827193,1224954.2,1223463
GUJARAT,50671017,60383628,29827750,41948677,971261.1,1212092.7
DAMAN AND DIU,158204,242911,107600,188974,8470.7,8137.4
DADRA NAGAR HAVELI,220490,342853,103904,228028,12236.3,12412.4
MAHARASHTRA,96878627,112372972,63965943,82512225,1549434.5,1854628.2
ANDHRA PRADESH,76210007,84665533,39934323,51438510,845552.6,1150418.7
KARNATAKA,52850562,61130704,30434962,41029323,828014.2,1059436.1
GOA,1347668,1457723,985562,1152117,11005.5,16655.5
LAKSHADWEEP,60650,64429,44683,52914,377.9,823.1
KERALA,31841374,33387677,25485688,28234227,154630.3,274853.9
TAMIL NADU,62405679,72138958,40524545,52413116,973327.9,1188857.1
PUDUCHERRY,974345,1244464,696367,966600,27011.9,27023.3
ANDAMAN AND NICOBAR ISLANDS,356152,379944,253135,293695,2379.2,4056
